"","V162345","V162346","V162349","V162350","V162211","V162213","V162214","V162212","prejudice","deserve","tryhard","descrimination","lazy","peaceful"
"120",1,3,2,6,"3. Neither agree nor disagree","5. Disagree strongly","2. Agree somewhat","5. Disagree strongly",3,5,2,5,2,4
"121",5,5,2,4,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,0,2
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",3,5,3,5,"2. Agree somewhat","5. Disagree strongly","2. Agree somewhat","5. Disagree strongly",2,5,2,5,2,2
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2,5,2,6,"1. Agree strongly","4. Disagree somewhat","1. Agree strongly","2. Agree somewhat",1,4,1,2,3,4
"126",4,5,3,5,"2. Agree somewhat","2. Agree somewhat","2. Agree somewhat","4. Disagree somewhat",2,2,2,4,1,2
"127",4,3,2,3,"4. Disagree somewhat","2. Agree somewhat","5. Disagree strongly","2. Agree somewhat",4,2,5,2,-1,1
"128",4,4,4,4,"4. Disagree somewhat","4. Disagree somewhat","4. Disagree somewhat","3. Neither agree nor disagree",4,4,4,3,0,0
"129",4,6,4,5,"3. Neither agree nor disagree","3. Neither agree nor disagree","3. Neither agree nor disagree","4. Disagree somewhat",3,3,3,4,2,1
"130",1,7,1,7,"1. Agree strongly","3. Neither agree nor disagree","1. Agree strongly","3. Neither agree nor disagree",1,3,1,3,6,6
"131",6,6,3,2,"2. Agree somewhat","3. Neither agree nor disagree","2. Agree somewhat","2. Agree somewhat",2,3,2,2,0,-1
"132",4,4,4,6,"2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat",2,4,2,4,0,2
"133",2,3,3,4,"1. Agree strongly","3. Neither agree nor disagree","2. Agree somewhat","1. Agree strongly",1,3,2,1,1,1
"134",1,7,1,7,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","4. Disagree somewhat",1,5,1,4,6,6
"135",2,3,6,4,"5. Disagree strongly","1. Agree strongly","5. Disagree strongly","1. Agree strongly",5,1,5,1,1,-2
"136",2,2,2,2,"1. Agree strongly","2. Agree somewhat","2. Agree somewhat","2. Agree somewhat",1,2,2,2,0,0
"137",4,4,5,5,"1. Agree strongly","4. Disagree somewhat","4. Disagree somewhat","2. Agree somewhat",1,4,4,2,0,0
"138",3,4,5,5,"4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat","4. Disagree somewhat",4,2,4,4,1,0
"139",3,3,3,4,"2. Agree somewhat","4. Disagree somewhat","1. Agree strongly","4. Disagree somewhat",2,4,1,4,0,1
"140",2,5,2,5,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,3,3
"141",4,4,5,4,"3. Neither agree nor disagree","2. Agree somewhat","3. Neither agree nor disagree","4. Disagree somewhat",3,2,3,4,0,-1
"142",2,5,2,5,"1. Agree strongly","1. Agree strongly","2. Agree somewhat","2. Agree somewhat",1,1,2,2,3,3
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",1,3,3,4,"3. Neither agree nor disagree","4. Disagree somewhat","2. Agree somewhat","2. Agree somewhat",3,4,2,2,2,1
"145",NA,NA,NA,NA,"2. Agree somewhat","2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat",2,2,4,2,NA,NA
"146",1,1,4,4,"5. Disagree strongly","1. Agree strongly","5. Disagree strongly","1. Agree strongly",5,1,5,1,0,0
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,"5. Disagree strongly","2. Agree somewhat","5. Disagree strongly","1. Agree strongly",5,2,5,1,NA,NA
"150",1,5,4,5,"2. Agree somewhat","5. Disagree strongly","3. Neither agree nor disagree","5. Disagree strongly",2,5,3,5,4,1
"151",1,3,1,5,"1. Agree strongly","4. Disagree somewhat","2. Agree somewhat","1. Agree strongly",1,4,2,1,2,4
"152",2,2,2,2,"3. Neither agree nor disagree","4. Disagree somewhat","4. Disagree somewhat","4. Disagree somewhat",3,4,4,4,0,0
"153",4,6,4,5,"3. Neither agree nor disagree","5. Disagree strongly","3. Neither agree nor disagree","3. Neither agree nor disagree",3,5,3,3,2,1
"154",NA,NA,NA,NA,"1. Agree strongly","3. Neither agree nor disagree","1. Agree strongly","1. Agree strongly",1,3,1,1,NA,NA
"155",4,4,3,3,"4. Disagree somewhat","2. Agree somewhat","5. Disagree strongly","1. Agree strongly",4,2,5,1,0,0
"156",2,2,2,3,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,0,1
"157",6,6,4,7,"2. Agree somewhat","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",2,5,1,5,0,3
"158",2,3,1,3,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,1,2
"159",4,4,2,5,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","4. Disagree somewhat",1,5,1,4,0,3
"160",3,4,2,5,"2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree","4. Disagree somewhat",2,4,3,4,1,3
"161",1,1,1,1,"5. Disagree strongly","2. Agree somewhat","5. Disagree strongly","1. Agree strongly",5,2,5,1,0,0
"162",4,4,5,4,"5. Disagree strongly","1. Agree strongly","5. Disagree strongly","1. Agree strongly",5,1,5,1,0,-1
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2,1,4,5,"4. Disagree somewhat","2. Agree somewhat","5. Disagree strongly","1. Agree strongly",4,2,5,1,-1,1
"165",3,3,2,2,"5. Disagree strongly","3. Neither agree nor disagree","5. Disagree strongly","1. Agree strongly",5,3,5,1,0,0
"166",4,4,4,4,"3. Neither agree nor disagree","3. Neither agree nor disagree","3. Neither agree nor disagree","2. Agree somewhat",3,3,3,2,0,0
"167",3,4,3,4,"2. Agree somewhat","5. Disagree strongly","4. Disagree somewhat","4. Disagree somewhat",2,5,4,4,1,1
"168",2,4,4,4,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,2,0
"169",2,2,2,3,"4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree",4,2,4,3,0,1
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,"1. Agree strongly","1. Agree strongly","1. Agree strongly","3. Neither agree nor disagree",1,1,1,3,NA,NA
"172",2,4,3,7,"1. Agree strongly","5. Disagree strongly","3. Neither agree nor disagree","4. Disagree somewhat",1,5,3,4,2,4
"173",2,6,1,7,"1. Agree strongly","2. Agree somewhat","1. Agree strongly","2. Agree somewhat",1,2,1,2,4,6
"174",4,6,6,7,"3. Neither agree nor disagree","5. Disagree strongly","2. Agree somewhat","2. Agree somewhat",3,5,2,2,2,1
"175",4,4,4,4,"4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat","1. Agree strongly",4,2,4,1,0,0
"176",1,5,3,3,"2. Agree somewhat","2. Agree somewhat","1. Agree strongly","3. Neither agree nor disagree",2,2,1,3,4,0
"177",2,2,2,2,"1. Agree strongly","2. Agree somewhat","5. Disagree strongly","4. Disagree somewhat",1,2,5,4,0,0
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",3,2,4,5,"2. Agree somewhat","1. Agree strongly","5. Disagree strongly","1. Agree strongly",2,1,5,1,-1,1
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",3,5,4,3,"3. Neither agree nor disagree","3. Neither agree nor disagree","2. Agree somewhat","2. Agree somewhat",3,3,2,2,2,-1
"182",1,1,5,5,"3. Neither agree nor disagree","1. Agree strongly","1. Agree strongly","1. Agree strongly",3,1,1,1,0,0
"183",5,5,4,4,"4. Disagree somewhat","3. Neither agree nor disagree","4. Disagree somewhat","1. Agree strongly",4,3,4,1,0,0
"184",3,4,4,4,"5. Disagree strongly","3. Neither agree nor disagree","5. Disagree strongly","2. Agree somewhat",5,3,5,2,1,0
"185",4,2,5,3,"4. Disagree somewhat","1. Agree strongly","4. Disagree somewhat","1. Agree strongly",4,1,4,1,-2,-2
"186",3,4,2,5,"2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree","4. Disagree somewhat",2,4,3,4,1,3
"187",1,7,1,7,"1. Agree strongly","3. Neither agree nor disagree","1. Agree strongly","1. Agree strongly",1,3,1,1,6,6
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",1,6,1,5,"2. Agree somewhat","5. Disagree strongly","1. Agree strongly","4. Disagree somewhat",2,5,1,4,5,4
"190",4,4,4,5,"2. Agree somewhat","5. Disagree strongly","3. Neither agree nor disagree","5. Disagree strongly",2,5,3,5,0,1
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",3,5,3,5,"2. Agree somewhat","3. Neither agree nor disagree","2. Agree somewhat","2. Agree somewhat",2,3,2,2,2,2
"193",2,2,1,2,"4. Disagree somewhat","3. Neither agree nor disagree","3. Neither agree nor disagree","2. Agree somewhat",4,3,3,2,0,1
"194",4,3,5,5,"4. Disagree somewhat","2. Agree somewhat","5. Disagree strongly","1. Agree strongly",4,2,5,1,-1,0
"195",2,2,2,2,"2. Agree somewhat","3. Neither agree nor disagree","2. Agree somewhat","2. Agree somewhat",2,3,2,2,0,0
"196",3,6,3,6,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,3,3
