id,mp12a,mp12b,mp12c,mp12d,mp12e,mp12f
647,2,3,2,2,2,2
648,1,1,3,2,1,1
649,1,1,3,3,2,3
650,1,1,3,1,3,2
651,1,3,1,1,3,3
652,3,3,1,3,1,3
653,1,3,3,3,1,3
654,3,3,1,3,3,3
655,3,3,3,3,2,3
656,1,1,3,2,3,2
657,1,3,3,3,3,1
658,1,3,1,3,3,3
659,2,3,1,3,3,3
660,3,3,1,3,3,3
661,1,2,3,3,2,3
662,1,3,3,3,3,3
663,1,1,1,3,1,2
664,1,1,3,3,2,3
665,1,3,1,3,3,3
666,1,1,1,1,3,1
667,1,3,3,3,2,3
668,3,3,3,3,3,3
669,1,1,2,3,2,3
670,1,3,3,3,3,3
671,3,3,3,3,3,1
672,3,1,3,1,1,3
673,1,1,3,1,1,1
674,1,3,3,3,2,3
675,1,3,3,3,3,3
676,2,2,2,2,3,3
677,3,3,3,1,1,1
678,1,3,3,3,3,3
679,3,3,1,3,3,3
680,1,3,1,3,1,3
681,1,1,3,3,2,2
682,1,1,1,3,3,3
683,3,2,2,3,3,3
684,2,2,2,2,2,2
685,3,3,1,3,3,3
686,1,2,1,3,3,3
687,1,1,3,3,3,3
688,1,1,3,1,1,1
689,1,3,3,3,3,3
690,1,3,3,3,3,3
691,1,1,3,3,1,1
692,1,1,3,3,2,3
693,1,3,1,3,3,2
694,3,1,3,1,3,3
695,1,1,3,2,1,1
696,1,1,3,3,1,1
697,1,1,3,1,3,1
698,3,3,3,3,3,1
699,3,3,3,3,3,3
700,1,3,3,3,3,3
701,1,3,3,3,1,3
702,3,3,1,3,3,3
703,1,1,3,3,1,3
704,1,2,3,3,1,3
705,3,3,1,3,3,3
706,3,2,2,3,3,3
707,1,1,3,1,2,3
708,3,3,1,1,3,3
709,1,2,3,3,1,1
710,2,3,3,3,3,3
711,3,3,1,1,3,3
712,1,3,3,3,3,3
713,2,2,3,2,3,3
714,1,1,3,3,1,3
715,1,1,3,2,1,3
716,1,1,3,2,3,3
717,3,3,3,3,3,3
718,3,3,3,3,3,3
719,3,3,3,3,3,3
720,3,1,3,3,3,3
721,3,3,3,3,3,3
722,3,3,1,3,3,1
723,3,3,1,3,3,3
724,3,3,3,3,3,3
725,1,1,3,3,1,3
726,3,3,1,1,3,1
727,2,3,2,2,2,3
728,3,3,3,3,3,3
729,2,2,2,2,2,3
730,1,1,3,1,3,3
731,1,1,1,1,3,3
732,1,3,1,3,3,3
733,1,1,1,1,1,1
734,3,3,1,3,2,3
735,1,1,3,1,1,2
736,1,1,3,3,1,1
737,1,3,3,1,1,2
738,1,3,3,1,1,3
739,1,1,3,1,2,1
740,1,1,3,1,1,3
741,1,1,3,3,1,3
742,3,3,3,2,3,3
743,3,3,3,2,3,1
744,3,3,3,3,3,3
745,3,3,1,3,3,3
746,1,2,1,1,1,3
747,2,3,3,3,3,3
748,1,1,3,3,1,3
749,1,3,1,3,1,3
750,3,1,1,3,1,3
751,3,1,1,3,1,3
752,1,2,3,1,1,1
753,1,1,1,3,1,3
754,2,3,2,3,3,3
755,2,2,3,3,3,3
756,1,3,3,1,3,1
757,1,3,1,3,3,3
758,3,3,1,3,1,3
759,1,1,1,1,1,1
760,1,1,3,1,1,1
761,3,3,1,3,3,3
762,1,1,3,3,2,2
763,1,1,3,3,3,3
764,3,1,3,3,3,3
765,1,1,1,3,3,3
766,1,1,3,3,1,1
767,2,2,1,3,2,3
768,1,1,3,3,1,3
769,1,1,3,1,1,1
770,3,3,2,2,3,3
771,1,1,1,2,1,3
772,2,3,1,3,3,3
773,2,3,3,1,3,3
774,1,1,3,1,1,1
775,1,3,2,3,1,2
776,1,1,1,1,1,1
777,3,3,3,3,3,3
778,3,3,1,3,3,3
779,3,3,1,3,3,3
780,1,2,1,3,2,3
781,1,3,1,3,3,3
782,1,3,3,3,1,3
783,1,3,1,3,1,3
784,1,1,1,1,3,3
785,1,1,1,3,1,1
786,1,3,1,1,1,3
787,3,3,1,3,1,3
788,1,3,1,3,3,3
789,3,3,1,3,1,3
790,2,1,3,2,2,3
791,1,3,3,3,3,3
792,1,1,3,1,1,1
793,1,3,3,3,2,3
794,3,3,3,3,3,3
795,3,3,2,3,3,1
796,1,1,3,3,3,3
797,1,1,3,3,1,3
798,3,3,1,3,3,3
799,1,3,3,3,2,3
800,2,3,1,3,3,3
801,1,1,3,2,1,1
802,1,1,1,1,3,3
803,1,1,1,3,3,3
804,1,3,1,3,3,3
805,1,1,3,3,1,3
806,2,3,3,3,2,3
807,2,3,3,3,3,3
808,1,1,3,1,1,1
809,1,3,3,3,1,2
810,1,3,1,3,1,3
811,1,3,1,2,2,3
812,1,1,3,3,1,1
813,1,1,1,1,1,1
814,1,1,1,3,3,3
815,1,3,3,1,1,1
816,3,2,3,3,2,2
817,1,1,1,3,1,3
818,1,1,3,1,1,1
819,1,1,3,1,1,1
820,2,3,3,3,2,3
821,2,2,2,3,3,3
